PM_L3_L3_L3.raw	214.774105	24.810984	0.708697
PM_L3_L3_null.raw	226.877964	24.572880	0.637984
PM_L3_M3_null.raw	197.823174	25.168032	0.652128
PM_L3_null_null.raw	336.808796	22.856969	0.479982
PM_L3W_L3W_L3W.raw	220.191338	24.702801	0.662727
PM_L3W_L3W_null.raw	255.884842	24.050358	0.580115
PM_L3W_M3_L3W.raw	167.023468	25.903029	0.721937
PM_L3W_M3_null.raw	179.191833	25.597621	0.658284
PM_L3W_M5_null.raw	184.970631	25.459776	0.754348
PM_L3W_null_null.raw	433.328999	21.762626	0.452793
PM_L5_L5_L5.raw	287.215263	23.548728	0.752949
PM_L5_L5_null.raw	249.099182	24.167081	0.741344
PM_L5_M5_null.raw	219.554325	24.715384	0.745335
PM_L5_null_null.raw	239.550320	24.336836	0.630284
PM_L5W_L5W_L5W.raw	221.486065	24.677340	0.737705
PM_L5W_L5W_null.raw	216.327477	24.779687	0.687638
PM_L5W_M3_null.raw	186.763771	25.417877	0.681052
PM_L5W_M5_null.raw	189.744625	25.349109	0.751299
PM_L5W_M5_L5W.raw	202.820076	25.059694	0.766829
PM_L5W_null_null.raw	288.811127	23.524664	0.543524
peppers_mixed.raw	2562.679913	14.043860	0.217202
PM_M3_null_null.raw	171.535954	25.787252	0.672365
PM_M5_null_null.raw	342.398155	22.785489	0.754752
