1	0	0	0
5	9	5	2
9	14	11	2
13	16	14	1
17	27	22	3
21	27	21	0
25	34	29	0
29	42	33	0
33	50	37	3
37	52	40	0
41	58	45	1
45	65	48	2
49	69	53	1
53	77	56	1
57	87	61	0
61	95	66	0
65	103	68	0
69	112	73	0
73	119	78	0
77	133	86	4
81	139	89	2
85	147	94	0
89	149	95	0
93	159	103	6
97	168	112	19
101	172	115	28
105	179	122	35
109	186	127	47
113	189	132	53
117	193	135	62
121	196	146	77
125	199	148	85
129	203	152	99
133	205	154	107
137	211	165	116
141	216	171	132
145	215	172	140
149	218	177	149
153	223	186	160
157	222	187	165
161	226	193	176
165	227	195	182
169	233	205	194
173	232	205	196
177	233	210	202
181	232	212	205
185	235	218	210
189	237	222	215
193	240	229	223
197	239	230	223
201	243	236	230
205	241	238	233
209	243	243	235
213	245	246	238
217	246	252	242
221	247	255	244
225	248	255	247
229	248	255	248
233	249	255	253
237	250	255	255
241	250	255	255
245	250	255	255
249	250	255	255
253	250	255	255
